,GalaxyID,Class1.1,Class1.2,Class1.3
0,100090.0,1.0,0.0,0.0
1,100134.0,0.0,1.0,0.0
2,100237.0,0.0,1.0,0.0
3,100263.0,0.0,1.0,0.0
4,100322.0,0.0,1.0,0.0
5,100335.0,0.0,1.0,0.0
6,100380.0,0.0,1.0,0.0
7,100458.0,1.0,0.0,0.0
8,100479.0,1.0,0.0,0.0
9,100520.0,0.0,1.0,0.0
10,100672.0,1.0,0.0,0.0
11,100673.0,0.0,1.0,0.0
12,100724.0,1.0,0.0,0.0
13,100727.0,1.0,0.0,0.0
14,100765.0,0.0,1.0,0.0
15,100801.0,0.0,1.0,0.0
16,100813.0,0.0,1.0,0.0
17,100821.0,0.0,1.0,0.0
18,100859.0,0.0,1.0,0.0
19,100867.0,1.0,0.0,0.0
20,100951.0,0.0,1.0,0.0
21,101007.0,0.0,1.0,0.0
22,101074.0,0.0,1.0,0.0
23,101092.0,1.0,0.0,0.0
24,101140.0,0.0,1.0,0.0
25,101181.0,0.0,1.0,0.0
26,101244.0,0.0,1.0,0.0
27,101275.0,0.0,1.0,0.0
28,101290.0,1.0,0.0,0.0
29,101291.0,1.0,0.0,0.0
30,101298.0,0.0,1.0,0.0
31,101307.0,0.0,1.0,0.0
32,101315.0,0.0,1.0,0.0
33,101501.0,0.0,1.0,0.0
34,101595.0,0.0,1.0,0.0
35,101623.0,1.0,0.0,0.0
36,101627.0,1.0,0.0,0.0
37,101660.0,0.0,1.0,0.0
38,101666.0,0.0,1.0,0.0
39,101685.0,0.0,1.0,0.0
40,101718.0,0.0,1.0,0.0
41,101756.0,0.0,1.0,0.0
42,101774.0,0.0,1.0,0.0
43,101787.0,0.0,1.0,0.0
44,101804.0,0.0,1.0,0.0
45,101848.0,0.0,1.0,0.0
46,101858.0,1.0,0.0,0.0
47,101893.0,0.0,1.0,0.0
48,101943.0,1.0,0.0,0.0
49,101955.0,0.0,1.0,0.0
50,101980.0,0.0,1.0,0.0
51,101991.0,0.0,1.0,0.0
